horizon_steps,horizon_label,fold_id,model,n_test_rows,mae_norm,rmse_norm,bias_norm,mae_kw_250,rmse_kw_250,bias_kw_250,persistence_mae_norm,persistence_rmse_norm,persistence_mae_kw_250,persistence_rmse_kw_250,mae_skill_vs_persistence,rmse_skill_vs_persistence
4,2 h,2,RandomForest,604,0.03481587827701366,0.05223878563990701,-0.010525906766216748,8.703969569253415,13.059696409976754,-2.631476691554187,0.02676139105397995,0.04618241574560221,6.690347763494988,11.545603936400552,-0.30097416112589714,-0.13114017091844166
4,2 h,2,Ridge,604,0.03189601504495756,0.04609542488562718,-0.006379190875483911,7.974003761239389,11.523856221406794,-1.5947977188709777,0.02676139105397995,0.04618241574560221,6.690347763494988,11.545603936400552,-0.19186685701877915,0.0018836359807209435
4,2 h,2,RollingMean,604,0.02903394553932617,0.04668914230891139,-0.0020075924590795395,7.258486384831542,11.672285577227848,-0.5018981147698848,0.02676139105397995,0.04618241574560221,6.690347763494988,11.545603936400552,-0.08491914642113652,-0.01097228360899316
4,2 h,3,Persistence,639,0.019111450413022212,0.0365278719789995,-0.0016471256235024343,4.777862603255553,9.131967994749877,-0.4117814058756087,0.019111450413022212,0.0365278719789995,4.777862603255553,9.131967994749877,0.0,0.0
4,2 h,3,RandomForest,639,0.05298235797828286,0.07601699879852172,-0.03712824761498705,13.245589494570714,19.004249699630428,-9.282061903746763,0.019111450413022212,0.0365278719789995,4.777862603255553,9.131967994749877,-1.7722834653188642,-1.0810683645142314
4,2 h,3,Ridge,639,0.02632165750785144,0.03825305094719577,-0.009683415904722268,6.580414376962859,9.563262736798944,-2.4208539761805667,0.019111450413022212,0.0365278719789995,4.777862603255553,9.131967994749877,-0.37727158007412753,-0.047229112311500066
4,2 h,3,RollingMean,639,0.021674387983909946,0.038153823897855,-0.0026566896736044915,5.418596995977487,9.538455974463751,-0.6641724184011227,0.019111450413022212,0.0365278719789995,4.777862603255553,9.131967994749877,-0.13410481755698633,-0.04451263735785882
4,2 h,4,Persistence,674,0.011215740306357674,0.022509691171262586,-0.0006070247398634976,2.8039350765894184,5.627422792815647,-0.1517561849658744,0.011215740306357674,0.022509691171262586,2.8039350765894184,5.627422792815647,0.0,0.0
4,2 h,4,RandomForest,674,0.0415858883805171,0.06484127899600065,-0.031735471158378555,10.396472095129274,16.210319749000163,-7.93386778959464,0.011215740306357674,0.022509691171262586,2.8039350765894184,5.627422792815647,-2.707814842765575,-1.8805938963205975
4,2 h,4,Ridge,674,0.01655600406905749,0.023168748932525168,-0.008433010990789963,4.139001017264373,5.792187233131292,-2.108252747697491,0.011215740306357674,0.022509691171262586,2.8039350765894184,5.627422792815647,-0.47614010460572764,-0.029278845109344642
