horizon_steps,horizon_label,fold_id,model,params_label,model_setting,tuning_time_seconds,final_fit_time_seconds,calibration_predict_time_seconds,test_predict_time_seconds,model_path
1,30 min,3,Ridge,alpha=0.1,Ridge (alpha=0.1),0.05430392700145603,0.00766616900000372,0.0033443450010963716,0.0031202909995045047,../outputs/models/notebook_03/h01_fold03_ridge.pkl
1,30 min,3,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",20.20151178100059,1.4585930339999322,0.29023690699978033,0.19909515000108513,../outputs/models/notebook_03/h01_fold03_randomforest.pkl
1,30 min,4,Persistence,,Persistence,0.006606942999496823,9.207000402966514e-06,0.0005207939975662157,0.00017046100037987344,../outputs/models/notebook_03/h01_fold04_persistence.pkl
1,30 min,4,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.012447159002476837,3.925000783056021e-06,0.0001951220001501497,8.718499884707853e-05,../outputs/models/notebook_03/h01_fold04_rollingmean.pkl
1,30 min,4,Ridge,alpha=0.1,Ridge (alpha=0.1),0.05315028399854782,0.007574934999865945,0.0036913369985995814,0.003005243001098279,../outputs/models/notebook_03/h01_fold04_ridge.pkl
1,30 min,4,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",20.7998657140015,1.5854443820026063,0.19151041300210636,0.16243041199777508,../outputs/models/notebook_03/h01_fold04_randomforest.pkl
1,30 min,5,Persistence,,Persistence,0.006448013999033719,5.0480011850595474e-06,0.0002516690001357347,0.00018088999786414206,../outputs/models/notebook_03/h01_fold05_persistence.pkl
1,30 min,5,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.010564211999735562,3.962999471696094e-06,0.000226569998631021,8.779799827607349e-05,../outputs/models/notebook_03/h01_fold05_rollingmean.pkl
1,30 min,5,Ridge,alpha=0.1,Ridge (alpha=0.1),0.05668854299801751,0.007908016999863321,0.003723566998814931,0.003920404000382405,../outputs/models/notebook_03/h01_fold05_ridge.pkl
1,30 min,5,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",22.471463106001465,1.6516768539986515,0.22693914499905077,0.25571031299841707,../outputs/models/notebook_03/h01_fold05_randomforest.pkl
2,1 h,1,Persistence,,Persistence,0.007281051999598276,3.6720011848956347e-06,0.0002973240007122513,0.00019384099869057536,../outputs/models/notebook_03/h02_fold01_persistence.pkl
2,1 h,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.00984083500225097,3.4820004657376558e-06,0.0002435000023979228,0.0001830219989642501,../outputs/models/notebook_03/h02_fold01_rollingmean.pkl
2,1 h,1,Ridge,alpha=10.0,Ridge (alpha=10.0),0.055509831003291765,0.008102354997390648,0.0033169240014103707,0.003484952998405788,../outputs/models/notebook_03/h02_fold01_ridge.pkl
2,1 h,1,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",17.58365756800049,1.3906927550015098,0.24637530200197943,0.20610155399845098,../outputs/models/notebook_03/h02_fold01_randomforest.pkl
2,1 h,2,Persistence,,Persistence,0.006772237000404857,4.358000296633691e-06,0.00024887199833756313,0.0002089059998979792,../outputs/models/notebook_03/h02_fold02_persistence.pkl
2,1 h,2,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.012087456001609098,2.8649992600549012e-06,0.0002815769985318184,7.663599899387918e-05,../outputs/models/notebook_03/h02_fold02_rollingmean.pkl
2,1 h,2,Ridge,alpha=0.1,Ridge (alpha=0.1),0.054494336000061594,0.00838991300042835,0.0033835849972092547,0.0036190459977660794,../outputs/models/notebook_03/h02_fold02_ridge.pkl
2,1 h,2,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",18.52760648399999,1.4434754430003522,0.3120548759980011,0.18572239600325702,../outputs/models/notebook_03/h02_fold02_randomforest.pkl
2,1 h,3,Persistence,,Persistence,0.007092482002917677,4.006000381195918e-06,0.00025613399702706374,0.00015841400090721436,../outputs/models/notebook_03/h02_fold03_persistence.pkl
2,1 h,3,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.011159154997585574,3.860001015709713e-06,0.00023139699987950735,9.171000056085177e-05,../outputs/models/notebook_03/h02_fold03_rollingmean.pkl
2,1 h,3,Ridge,alpha=0.1,Ridge (alpha=0.1),0.06846815199969569,0.007927620998088969,0.00384406100056367,0.0035254670001449995,../outputs/models/notebook_03/h02_fold03_ridge.pkl
2,1 h,3,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",19.814668347000406,1.4931968269993376,0.23746739700072794,0.19417124399842578,../outputs/models/notebook_03/h02_fold03_randomforest.pkl
2,1 h,4,Persistence,,Persistence,0.007173262998549035,5.126999894855544e-06,0.0006837960027041845,0.00021811400074511766,../outputs/models/notebook_03/h02_fold04_persistence.pkl
2,1 h,4,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.011401011000998551,4.091001756023616e-06,0.0001849999971454963,8.441500176559202e-05,../outputs/models/notebook_03/h02_fold04_rollingmean.pkl
2,1 h,4,Ridge,alpha=10.0,Ridge (alpha=10.0),0.055538119999255287,0.007161281002481701,0.003816421998635633,0.0030414110005949624,../outputs/models/notebook_03/h02_fold04_ridge.pkl
2,1 h,4,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)",21.22144373700212,1.5307282149988168,0.290900498002884,0.2824494100023003,../outputs/models/notebook_03/h02_fold04_randomforest.pkl
2,1 h,5,Persistence,,Persistence,0.010176173000218114,4.572997568175197e-06,0.00030606400105170906,0.0002213199986726977,../outputs/models/notebook_03/h02_fold05_persistence.pkl
2,1 h,5,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.022068506998039084,4.13400266552344e-06,0.00025808500140556134,0.00021630599803756922,../outputs/models/notebook_03/h02_fold05_rollingmean.pkl
2,1 h,5,Ridge,alpha=10.0,Ridge (alpha=10.0),0.058475027999520535,0.0077540630009025335,0.0038312750002660323,0.0031251899999915622,../outputs/models/notebook_03/h02_fold05_ridge.pkl
2,1 h,5,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)",22.219280351000634,1.6746001229985268,0.26264361800349434,0.24984737699924153,../outputs/models/notebook_03/h02_fold05_randomforest.pkl
4,2 h,1,Persistence,,Persistence,0.005422646998340497,5.316996976034716e-06,0.0005415080013335682,0.00020319000032031909,../outputs/models/notebook_03/h04_fold01_persistence.pkl
4,2 h,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),0.012949049996677786,4.3860018195118755e-06,0.0004414489994815085,8.353399971383624e-05,../outputs/models/notebook_03/h04_fold01_rollingmean.pkl
