interval_method,interval_level,interval_level_pct,model,horizon_steps,horizon_hours,horizon_label,fold_id,n_rows,empirical_coverage,mean_width_norm,median_width_norm,mean_width_kw_250,median_width_kw_250,mean_interval_score_norm,coverage_error
ConformalStyle_ModelHorizon,0.8,80,RollingMean,4,2.0,2 h,4,674,0.9436201780415431,0.07662320518215,0.07422748174629101,19.1558012955375,18.55687043657275,0.09136220028001965,0.14362017804154303
ConformalStyle_ModelHorizon,0.8,80,RollingMean,4,2.0,2 h,5,710,0.9478873239436619,0.08347571699194997,0.08902602050514286,20.86892924798749,22.256505126285713,0.09398115043300381,0.14788732394366189
ConformalStyle_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,1,546,0.7362637362637363,0.09703043142024902,0.10625819620869233,24.257607855062254,26.56454905217308,0.22507748966770721,-0.06373626373626373
ConformalStyle_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,2,580,0.7120689655172414,0.08031921454967796,0.08869928719765213,20.079803637419488,22.17482179941303,0.22510727956903023,-0.08793103448275863
ConformalStyle_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,3,614,0.8127035830618893,0.08042204458167844,0.08025393330773306,20.105511145419612,20.063483326933262,0.15907924812105625,0.012703583061889234
ConformalStyle_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,4,649,0.9368258859784283,0.09292955900586872,0.08453594711712326,23.23238975146718,21.133986779280814,0.11142740732881862,0.13682588597842826
ConformalStyle_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,5,683,0.9487554904831625,0.10306810603891002,0.10295133250692769,25.767026509727504,25.73783312673192,0.11773237435799029,0.1487554904831625
ConformalStyle_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,1,585,0.8615384615384616,0.09430685419660546,0.10315025485942064,23.576713549151364,25.78756371485516,0.21961508566357962,-0.038461538461538436
ConformalStyle_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,2,621,0.8180354267310789,0.06764189851453468,0.0740112433186863,16.91047462863367,18.502810829671574,0.24726811308748528,-0.08196457326892115
ConformalStyle_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,3,658,0.8936170212765957,0.07177337279411075,0.08839217040402914,17.94334319852769,22.098042601007283,0.17986827294458738,-0.00638297872340432
ConformalStyle_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,4,694,0.9855907780979827,0.09636190892639829,0.08912891914668471,24.090477231599568,22.282229786671177,0.1057101131757979,0.08559077809798266
ConformalStyle_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,5,731,0.9917920656634747,0.10261378273934156,0.10335420612931256,25.65344568483539,25.83855153232814,0.10807858749046524,0.09179206566347464
ConformalStyle_ModelHorizon,0.9,90,Persistence,2,1.0,1 h,1,579,0.8791018998272885,0.10619660933544715,0.11779647063082481,26.549152333861787,29.449117657706203,0.22640968252788712,-0.020898100172711542
ConformalStyle_ModelHorizon,0.9,90,Persistence,2,1.0,1 h,2,615,0.8178861788617886,0.07758331932159222,0.08565044172165942,19.395829830398057,21.412610430414855,0.256475005615035,-0.08211382113821142
ConformalStyle_ModelHorizon,0.9,90,Persistence,2,1.0,1 h,3,652,0.8865030674846626,0.07870450109415454,0.09099846386800245,19.676125273538638,22.74961596700061,0.18174282898310162,-0.013496932515337456
ConformalStyle_ModelHorizon,0.9,90,Persistence,2,1.0,1 h,4,688,0.9869186046511628,0.10421052320024923,0.09496321206540834,26.05263080006231,23.740803016352082,0.1158102183068904,0.08691860465116275
ConformalStyle_ModelHorizon,0.9,90,Persistence,2,1.0,1 h,5,724,0.994475138121547,0.11319744352659541,0.11120765583811679,28.29936088164885,27.801913959529198,0.11988364019803217,0.09447513812154695
ConformalStyle_ModelHorizon,0.9,90,Persistence,4,2.0,2 h,1,568,0.8679577464788732,0.11812744106393022,0.13336009288253675,29.53186026598255,33.34002322063419,0.22708599499128093,-0.03204225352112677
ConformalStyle_ModelHorizon,0.9,90,Persistence,4,2.0,2 h,2,604,0.8195364238410596,0.0846043983891999,0.09399019361707844,21.15109959729998,23.49754840426961,0.25609424167205436,-0.0804635761589404
ConformalStyle_ModelHorizon,0.9,90,Persistence,4,2.0,2 h,3,639,0.9014084507042254,0.09385145667859016,0.09505703751175001,23.46286416964754,23.764259377937503,0.1693738009132355,0.0014084507042253502
ConformalStyle_ModelHorizon,0.9,90,Persistence,4,2.0,2 h,4,674,0.983679525222552,0.10894524193853886,0.09788058899226698,27.236310484634718,24.470147248066745,0.12141022674788095,0.08367952522255195
ConformalStyle_ModelHorizon,0.9,90,Persistence,4,2.0,2 h,5,710,0.9887323943661972,0.11630547181685011,0.11370615725480326,29.076367954212525,28.426539313700815,0.12000201535394442,0.08873239436619718
ConformalStyle_ModelHorizon,0.9,90,Persistence,8,4.0,4 h,1,546,0.8553113553113553,0.14225773994496735,0.1536461994791864,35.564434986241835,38.4115498697966,0.2668849898509886,-0.04468864468864475
ConformalStyle_ModelHorizon,0.9,90,Persistence,8,4.0,4 h,2,580,0.8206896551724138,0.11110445389547748,0.12647426023606995,27.77611347386937,31.618565059017488,0.29530612330177414,-0.07931034482758625
ConformalStyle_ModelHorizon,0.9,90,Persistence,8,4.0,4 h,3,614,0.8941368078175895,0.11422467227111732,0.1027913622069977,28.55616806777933,25.697840551749422,0.19586851281702075,-0.005863192182410493
ConformalStyle_ModelHorizon,0.9,90,Persistence,8,4.0,4 h,4,649,0.9799691833590138,0.1335983171165882,0.11842158946154066,33.399579279147055,29.605397365385166,0.14149978445176617,0.07996918335901382
ConformalStyle_ModelHorizon,0.9,90,Persistence,8,4.0,4 h,5,683,0.9853587115666179,0.1420472110410759,0.1342199148588859,35.51180276026898,33.55497871472148,0.14516301148552813,0.0853587115666179
ConformalStyle_ModelHorizon,0.9,90,RandomForest,1,0.5,30 min,1,585,0.8273504273504273,0.09423762167865361,0.09971055060649459,23.559405419663406,24.927637651623648,0.20289707291611075,-0.07264957264957272
ConformalStyle_ModelHorizon,0.9,90,RandomForest,1,0.5,30 min,2,621,0.8019323671497585,0.08531223450395485,0.091220408319378,21.328058625988714,22.8051020798445,0.21988599446632934,-0.09806763285024156
ConformalStyle_ModelHorizon,0.9,90,RandomForest,1,0.5,30 min,3,658,0.6793313069908815,0.091774261261492,0.10040194301670155,22.943565315373004,25.100485754175388,0.2867047450370008,-0.2206686930091185
ConformalStyle_ModelHorizon,0.9,90,RandomForest,1,0.5,30 min,4,694,0.8501440922190202,0.10803802437478026,0.11835912045190738,27.009506093695062,29.589780112976847,0.18998265851429574,-0.04985590778097981
ConformalStyle_ModelHorizon,0.9,90,RandomForest,1,0.5,30 min,5,731,0.9863201094391245,0.1046595348285637,0.11250004760976229,26.164883707140927,28.125011902440573,0.11148259445217143,0.08632010943912449
ConformalStyle_ModelHorizon,0.9,90,RandomForest,2,1.0,1 h,1,579,0.846286701208981,0.1047045909480596,0.11147413258700106,26.1761477370149,27.868533146750266,0.2127251738692423,-0.05371329879101905
ConformalStyle_ModelHorizon,0.9,90,RandomForest,2,1.0,1 h,2,615,0.791869918699187,0.08780412558990112,0.09370931913284375,21.95103139747528,23.427329783210936,0.248774660454483,-0.10813008130081303
ConformalStyle_ModelHorizon,0.9,90,RandomForest,2,1.0,1 h,3,652,0.6794478527607362,0.10617481784508037,0.11695317178587214,26.5437044612701,29.238292946468036,0.3172764574329092,-0.22055214723926386
ConformalStyle_ModelHorizon,0.9,90,RandomForest,2,1.0,1 h,4,688,0.8546511627906976,0.12340304638956555,0.13248178540440353,30.85076159739139,33.12044635110088,0.19035732900971247,-0.045348837209302384
ConformalStyle_ModelHorizon,0.9,90,RandomForest,2,1.0,1 h,5,724,0.930939226519337,0.12079624771142815,0.1242513579541618,30.199061927857038,31.062839488540448,0.15153417180072234,0.030939226519337004
ConformalStyle_ModelHorizon,0.9,90,RandomForest,4,2.0,2 h,1,568,0.8204225352112676,0.12073688326993498,0.13011843787410493,30.18422081748374,32.52960946852623,0.24558654331228333,-0.0795774647887324
ConformalStyle_ModelHorizon,0.9,90,RandomForest,4,2.0,2 h,2,604,0.7814569536423841,0.1012556168518073,0.1091535610604186,25.313904212951822,27.28839026510465,0.2906384710330106,-0.11854304635761592
ConformalStyle_ModelHorizon,0.9,90,RandomForest,4,2.0,2 h,3,639,0.676056338028169,0.11557304875164984,0.12838104044637622,28.89326218791246,32.09526011159405,0.5010746448260227,-0.22394366197183102
ConformalStyle_ModelHorizon,0.9,90,RandomForest,4,2.0,2 h,4,674,0.7908011869436202,0.1400185096885084,0.14828245901760853,35.0046274221271,37.07061475440213,0.3355464154076773,-0.1091988130563798
ConformalStyle_ModelHorizon,0.9,90,RandomForest,4,2.0,2 h,5,710,0.9253521126760563,0.12082285769086043,0.1278913271948129,30.205714422715104,31.97283179870322,0.13200776179081217,0.025352112676056304
ConformalStyle_ModelHorizon,0.9,90,RandomForest,8,4.0,4 h,1,546,0.8131868131868132,0.14011785449143677,0.1460113737999067,35.02946362285918,36.50284344997667,0.37314497494527604,-0.08681318681318684
