interval_method,interval_level,interval_level_pct,model,horizon_steps,horizon_hours,horizon_label,folds,mean_coverage,std_coverage,mean_coverage_error,mean_width_norm,median_width_norm,mean_width_kw_250,median_width_kw_250,mean_interval_score_norm
ConformalStyle_ModelHorizon,0.9,90,Ridge,1,0.5,30 min,5,0.9011815837411538,0.0818545546811507,0.0011815837411537355,0.09030355446673098,0.09511997127038872,22.575888616682747,23.779992817597183,0.15346201070853496
ConformalStyle_ModelHorizon,0.9,90,Ridge,2,1.0,1 h,5,0.8999549722931979,0.08491964278641036,-4.502770680216983e-05,0.09609349108343633,0.1011368179488001,24.023372770859083,25.284204487200025,0.1609313320272751
ConformalStyle_ModelHorizon,0.9,90,Ridge,4,2.0,2 h,5,0.889265245191923,0.10008556678711664,-0.010734754808077174,0.11200363884281957,0.11457047031160986,28.00090971070489,28.642617577902463,0.18635768769853903
ConformalStyle_ModelHorizon,0.9,90,Ridge,8,4.0,4 h,5,0.8990631923230552,0.09637492589953515,-0.0009368076769447509,0.13828775285171402,0.1384449810555615,34.57193821292851,34.611245263890375,0.21856875927140457
ConformalStyle_ModelHorizon,0.9,90,RollingMean,1,0.5,30 min,5,0.901769649853436,0.08044338222640131,0.0017696498534360173,0.08522464864308536,0.091362139584062,21.30616216077134,22.8405348960155,0.149624349568047
ConformalStyle_ModelHorizon,0.9,90,RollingMean,2,1.0,1 h,5,0.902282514252921,0.08256942354835467,0.0022825142529211196,0.093087936100512,0.09762001192750076,23.271984025128,24.405002981875192,0.16380441960737158
ConformalStyle_ModelHorizon,0.9,90,RollingMean,4,2.0,2 h,5,0.8913766412942383,0.09199894397905405,-0.008623358705761674,0.10892592891751658,0.11009646253195408,27.231482229379147,27.52411563298852,0.18614332829713692
ConformalStyle_ModelHorizon,0.9,90,RollingMean,8,4.0,4 h,5,0.8928337901413146,0.09087007763796486,-0.007166209858685502,0.13113287188334444,0.1290724155293376,32.783217970836105,32.2681038823344,0.21890600532492596
ConformalStyle_ModelHorizon,0.95,95,Persistence,1,0.5,30 min,5,0.9365840622490488,0.06408760459185955,-0.013415937750951224,0.12260459972628017,0.1237960070565435,30.65114993157004,30.94900176413588,0.23701305265944067
ConformalStyle_ModelHorizon,0.95,95,Persistence,2,1.0,1 h,5,0.9420971805212947,0.055717082822797324,-0.007902819478705258,0.13564076124112973,0.1349590158031047,33.91019031028243,33.739753950776176,0.24132171156914345
ConformalStyle_ModelHorizon,0.95,95,Persistence,4,2.0,2 h,5,0.9429913046775553,0.05935021725356308,-0.0070086953224445915,0.1390028805044842,0.13687692849696806,34.75072012612105,34.21923212424201,0.22919307254524085
ConformalStyle_ModelHorizon,0.95,95,Persistence,8,4.0,4 h,5,0.9414159862034983,0.06148445305817905,-0.008584013796501644,0.163928990395043,0.15829593304212813,40.98224759876075,39.57398326053203,0.2628861572800673
ConformalStyle_ModelHorizon,0.95,95,RandomForest,1,0.5,30 min,5,0.8762946723355144,0.08335387647708063,-0.07370532766448548,0.12356509098407398,0.12981755330357445,30.89127274601849,32.45438832589361,0.2455989817313548
ConformalStyle_ModelHorizon,0.95,95,RandomForest,2,1.0,1 h,5,0.8631652906102101,0.05137533341400833,-0.08683470938978996,0.13356576628281575,0.14160895249489322,33.39144157070395,35.40223812372331,0.2589185598023133
ConformalStyle_ModelHorizon,0.95,95,RandomForest,4,2.0,2 h,5,0.8504549292422533,0.09360860094243424,-0.09954507075774657,0.1498738557843683,0.15902653729306032,37.46846394609207,39.75663432326508,0.3857752039116668
ConformalStyle_ModelHorizon,0.95,95,RandomForest,8,4.0,4 h,5,0.8328584432181471,0.07694731806807252,-0.11714155678185285,0.19666968854235423,0.1986397953286892,49.16742213558855,49.659948832172304,1.220796493342887
ConformalStyle_ModelHorizon,0.95,95,Ridge,1,0.5,30 min,5,0.9359231842485212,0.06140467973888619,-0.014076815751478722,0.1186157599516366,0.12202562413210996,29.653939987909155,30.506406033027485,0.19307747985029183
ConformalStyle_ModelHorizon,0.95,95,Ridge,2,1.0,1 h,5,0.9351360022474438,0.06049033644083312,-0.01486399775255609,0.12428179851508903,0.1267846758080909,31.07044962877226,31.69616895202273,0.2040285253082527
ConformalStyle_ModelHorizon,0.95,95,Ridge,4,2.0,2 h,5,0.9284069842004407,0.07520447484768243,-0.02159301579955928,0.14154082661653536,0.14223077077894902,35.38520665413384,35.557692694737256,0.22881258539526278
ConformalStyle_ModelHorizon,0.95,95,Ridge,8,4.0,4 h,5,0.9328903220986564,0.07306891746527737,-0.017109677901343566,0.16919058977878082,0.16673594487216475,42.297647444695215,41.683986218041184,0.26202833400187237
ConformalStyle_ModelHorizon,0.95,95,RollingMean,1,0.5,30 min,5,0.9385584976645985,0.05908623067597441,-0.011441502335401421,0.11620791134570033,0.11969701912974631,29.051977836425074,29.924254782436577,0.19293030315476595
ConformalStyle_ModelHorizon,0.95,95,RollingMean,2,1.0,1 h,5,0.9324960526248066,0.06349642563525038,-0.01750394737519336,0.12339566491562678,0.12509677049526727,30.848916228906695,31.274192623816816,0.21136604999910985
ConformalStyle_ModelHorizon,0.95,95,RollingMean,4,2.0,2 h,5,0.9312611955613213,0.06986539132634728,-0.018738804438678747,0.13801339698505086,0.13678628236066484,34.503349246262715,34.19657059016621,0.23172507699246822
ConformalStyle_ModelHorizon,0.95,95,RollingMean,8,4.0,4 h,5,0.9326896718342039,0.07492990712122323,-0.017310328165795964,0.16565611942966557,0.1589559473890128,41.414029857416395,39.7389868472532,0.2651937590198207
GlobalResidual,0.8,80,Persistence,1,0.5,30 min,5,0.8919657602944066,0.07918249444342348,0.09196576029440644,0.06841919943791674,0.07516366370458877,17.104799859479186,18.790915926147193,0.1190506252542561
GlobalResidual,0.8,80,Persistence,2,1.0,1 h,5,0.8811770786065442,0.08378082146875819,0.0811770786065441,0.06833661203661863,0.07506385685358472,17.084153009154658,18.765964213396177,0.1246004918916827
GlobalResidual,0.8,80,Persistence,4,2.0,2 h,5,0.8576384274734596,0.09414777078209857,0.057638427473459576,0.0681764153026472,0.07479839131313987,17.044103825661804,18.69959782828497,0.12875062413878
