scenario,scenario_name,fold_id,segment_id,start_time,end_time,n_samples,duration_days,soc_min,soc_max,throughput_kwh,final_equivalent_full_cycles,mean_charge_c_rate_proxy,p95_charge_c_rate_proxy,mean_discharge_c_rate_proxy,p95_discharge_c_rate_proxy,max_abs_power_tracking_error_kw,max_temperature_model_c,final_soh_Q,final_soh_R,soc_range,throughput_kwh_per_day,equivalent_full_cycles_per_day,delta_soh_Q,delta_soh_R,delta_soh_Q_per_day,delta_soh_R_per_day
B,Observed-power smoothing,5,h1_fold5_seg1,2025-06-13 12:30:00,2025-06-13 20:00:00,16,0.3333333333333333,0.39053059568686177,0.6007404800280841,57.90253907905329,0.2631933594502422,0.03057192765346075,0.12983783870606988,0.03522641220909968,0.16496321607572637,1.4921397450962104e-13,25.135514131813743,0.9983340179286205,1.0000179326791105,0.21020988434122234,173.7076172371599,0.7895800783507266,0.0016659820713794682,1.793267911054386e-05,0.0049979462141384046,5.3798037331631576e-05
B,Observed-power smoothing,5,h1_fold5_seg2,2025-06-14 10:00:00,2025-06-15 12:00:00,53,1.1041666666666667,0.3440816801686198,0.6561840854431545,108.81792195733433,0.49462691798788333,0.017323143594437058,0.06762295095869059,0.020007189838610745,0.08945055607929286,1.7363888105137448e-13,25.100269372473477,0.9972213306711072,1.0000547396499748,0.31210240527453476,98.55208026324618,0.44796400119657354,0.0027786693288928133,5.473964997482206e-05,0.002516530712959529,4.957553205266903e-05
B,Observed-power smoothing,5,h1_fold5_seg3,2025-06-16 02:00:00,2025-06-16 12:00:00,21,0.4375,0.4787815366008125,0.5213985037559519,11.428084514102562,0.051945838700466186,0.003739059607699818,0.018085083715934775,0.006155385859055643,0.02112279154374119,1.4299672557172016e-13,25.01158859947232,0.9984624534627442,1.0000203153704321,0.04261696715513935,26.121336032234428,0.11873334560106556,0.0015375465372557962,2.0315370432122393e-05,0.0035143920851561056,4.6435132416279756e-05
B,Observed-power smoothing,5,h1_fold5_seg4,2025-06-17 02:00:00,2025-06-20 12:00:00,165,3.4375,0.4777567921669109,0.5205434540969819,17.28586685213052,0.07857212205513874,0.0011101383885583037,0.005126541766251671,0.0007946403279298389,0.004546627004629697,1.9406698470447736e-13,25.01216883290787,0.9958073806605817,1.0001584998227977,0.04278666193007097,5.028615811528879,0.022857344597858542,0.00419261933941828,0.00015849982279769748,0.0012196710805580451,4.6109039359330175e-05
B,Observed-power smoothing,5,h1_fold5_seg5,2025-06-21 02:00:00,2025-06-30 23:30:00,476,9.916666666666666,0.37149835092881184,0.6162472131179046,412.3023841805661,1.8741017462753011,0.008300384159482506,0.038398721414761805,0.007448370010898211,0.03609823191497086,1.9806378759312793e-13,25.08336018913632,0.99245135908967,1.0004612124628292,0.2447488621890928,41.57671100980499,0.1889850500445682,0.007548640910330029,0.0004612124628291525,0.0007612074867559694,4.6508819781091015e-05
C,Forecast-informed smoothing,1,h1_fold1_seg1,2025-05-08 03:00:00,2025-05-08 14:30:00,24,0.5,0.4704326225799797,0.5319811132346283,25.24720513786544,0.03322000676034926,0.0,0.0,0.005536667793391195,0.006851831641998293,5.597744490160039e-13,24.994620138425358,0.9984264150058806,1.00002303224375,0.06154849065464857,50.49441027573088,0.06644001352069852,0.0015735849941194147,2.303224374999857e-05,0.0031471699882388293,4.606448749999714e-05
C,Forecast-informed smoothing,1,h1_fold1_seg2,2025-05-21 22:00:00,2025-05-22 00:00:00,5,0.10416666666666667,0.4832579431599963,0.5141127552213653,20.71134988755748,0.027251776167838786,0.02066000148516915,0.03877636970736034,0.0011414194491015813,0.0045656777964063235,5.10702591327572e-13,25.091172291687524,0.9992161437135054,1.0000049500892092,0.03085481206136903,198.82895892055177,0.26161705121125234,0.0007838562864945775,4.950089209199149e-06,0.007525020350347944,4.7520856408311826e-05
C,Forecast-informed smoothing,1,h1_fold1_seg3,2025-05-22 13:30:00,2025-05-23 19:00:00,60,1.25,0.4094775487207733,0.593092747308669,105.83592423070654,0.13925779504040336,0.0023603540855332813,0.011951559892281246,0.006923498917160385,0.017503904928875564,4.733990977001667e-13,25.083942389762722,0.9972735950576582,1.0000585897701406,0.1836151985878957,84.66873938456523,0.11140623603232269,0.0027264049423417758,5.858977014061573e-05,0.0021811239538734204,4.687181611249258e-05
C,Forecast-informed smoothing,1,h1_fold1_seg4,2025-05-24 13:00:00,2025-05-26 12:30:00,96,2.0,0.3702176082005421,0.6277092393145237,177.41905809957623,0.23344612907838982,0.0063197132661813185,0.03068598776133347,0.00340720877875153,0.010800724483305319,6.836753385641714e-13,25.276872131436637,0.9965154848102634,1.0000930680415168,0.2574916311139816,88.70952904978812,0.11672306453919491,0.003484515189736581,9.306804151676396e-05,0.0017422575948682906,4.653402075838198e-05
C,Forecast-informed smoothing,1,h1_fold1_seg5,2025-05-27 02:30:00,2025-05-28 23:00:00,90,1.875,0.28004451439544653,0.706416401717529,436.6429087997613,0.5745301431575806,0.01338845187065606,0.0631523369242334,0.012146221158569722,0.056279613981324465,6.292744103575387e-13,25.43101100928788,0.9964725427191887,1.0000896023508776,0.4263718873220824,232.87621802653936,0.3064160763507096,0.0035274572808112747,8.960235087762669e-05,0.0018813105497660133,4.7787920468067566e-05
