scenario,scenario_name,smoothing_window_min,smoothing_window_label,horizon_steps,horizon_hours,horizon_label,fold_id,n_samples,mean_p_wec_kw,mean_p_grid_kw,raw_energy_kwh,grid_energy_kwh,grid_to_raw_energy_ratio,charge_energy_kwh,discharge_energy_kwh,net_balancing_energy_kwh,raw_ramp_p95_kw_per_step,grid_ramp_p95_kw_per_step,ramp_p95_reduction_percent,raw_ramp_max_kw_per_step,grid_ramp_max_kw_per_step,ramp_max_reduction_percent,max_charge_power_kw,max_discharge_power_kw,storage_power_rating_kw,p95_abs_storage_power_kw,required_energy_kwh,required_energy_hours_at_mean_power,required_energy_hours_at_rated_power,throughput_kwh,equivalent_full_cycles,soc_min,soc_max,mean_storage_envelope_width_kw,possible_discharge_from_lower_bound_kw,possible_charge_from_upper_bound_kw
B,Observed-power smoothing,60,1 h,4,2.0,2 h,3.0,639.0,19.543616213116305,19.523811506832963,6092.686690645037,6086.776901001815,0.9991232371368348,305.6673001446983,299.75751050147556,5.909789643222759,17.326274407944833,9.416207409828564,45.98569033590589,39.91158133156652,20.62658921766707,47.04806201908572,19.64951285242598,18.288568081349815,19.95579066578326,8.615542168100443,18.124069763751816,0.9873446807766367,0.07249627905500727,605.4248106461739,16.27177126767658,0.0,1.0,28.00090971070489,49.256315689391116,45.928167321579124
B,Observed-power smoothing,60,1 h,8,4.0,4 h,3.0,614.4,19.07999212763017,19.068214999074193,5712.500683711126,5708.734371966806,0.9991730685333964,284.4018917946513,280.6355800503322,3.766311744319084,16.754679431083623,8.87624248256012,47.06583717960276,39.91158133156652,20.62658921766707,47.04806201908572,19.64951285242598,17.56547968564892,19.95579066578326,8.348784776334137,17.867476223044076,1.003725855813713,0.0714699048921763,565.0374718449835,15.355291591531227,0.0,1.0,34.5719382129285,58.306211928713154,54.65497085534471
B,Observed-power smoothing,120,2 h,1,0.5,30 min,3.0,657.8,19.91957827158587,19.93362988423348,6398.973852230895,6404.377316315545,1.0012287891312026,442.701359592251,448.10482367690076,-5.403464084649707,17.97120793491076,5.085681131866179,70.5306642003195,48.007921536505776,14.61345683284505,68.74876058266622,30.400213192661205,26.016878775871227,30.922041674382132,11.722543345910045,52.116769867067276,2.6908541450252326,0.20846707946826912,890.8061832691517,8.443987725270762,0.0,1.0,22.575888616682743,29.475153602707202,29.82643846604907
B,Observed-power smoothing,120,2 h,2,1.0,1 h,3.0,651.6,19.840672402427973,19.891928211853653,6309.826825199026,6327.170836225671,1.0030803713190575,428.35360185666303,445.6976128833081,-17.344011026645017,17.833002999841593,5.032714674729971,70.31410868213226,45.10372687767152,16.60049676533325,60.597840347799476,26.888130320370504,27.097973051413398,29.72578280952938,11.607859679507765,53.07051980654294,2.749247712011246,0.21228207922617176,874.0512147399711,8.14139194008818,0.0,1.0,24.023372770859083,43.6745605210921,30.02814644364575
B,Observed-power smoothing,120,2 h,4,2.0,2 h,3.0,639.0,19.543616213116305,19.526594501296575,6092.686690645037,6087.799023252049,0.9992985132087663,423.5263812707859,418.6387138777976,4.8876673929881935,17.326274407944833,4.904738960033794,70.46820975345778,39.91158133156652,16.57977865312767,57.984553243603294,26.888130320370504,24.052615115300263,27.149044561230973,11.439286511622404,47.84453831054767,2.5781410597629386,0.1913781532421907,842.1650951485835,8.571960589417191,0.0,1.0,28.00090971070489,41.8110349347903,42.13056180025678
B,Observed-power smoothing,120,2 h,8,4.0,4 h,3.0,614.4,19.07999212763017,19.07320311705554,5712.500683711126,5709.879023853139,0.9991390837927681,390.6934696261586,388.0718097681721,2.6216598579865176,16.754679431083623,4.787034788196527,70.10286613645025,39.91158133156652,13.198770149766727,65.06188294138138,26.888130320370504,24.052615115300263,27.149044561230973,10.929939268269887,45.69187991242858,2.5733409838812777,0.18276751964971433,778.7652793943308,8.293756687434684,0.0,1.0,34.5719382129285,52.6639196474415,51.81702168995597
B,Observed-power smoothing,240,4 h,1,0.5,30 min,3.0,657.8,19.91957827158587,19.990634080593644,6398.973852230895,6423.397236500088,1.004434355614652,572.6102352364439,597.0336195056361,-24.423384269192177,17.97120793491076,3.4598572449227687,79.23054254951788,48.007921536505776,11.242945213284852,76.26862517976406,34.30807843513949,28.16232338544669,34.30807843513949,14.434280135532225,110.38560174936713,5.692011492267808,0.44154240699746855,1169.6438547420798,5.265973418666347,0.0,1.0,22.575888616682743,27.571765250816593,29.82643846604907
B,Observed-power smoothing,240,4 h,2,1.0,1 h,3.0,651.6,19.840672402427973,19.959756535312323,6309.826825199026,6349.595545009698,1.0068418570027187,555.8020569513772,595.5707767620491,-39.768719810671975,17.833002999841593,3.3921667014331467,79.3500572233844,45.10372687767152,14.642032971545111,66.46183352330124,31.429822572737997,29.441198471954444,33.56225331115128,14.48044038881451,114.15167065003087,5.889302708237513,0.4566066826001235,1151.3728337134264,5.0301164305120505,0.0,1.0,24.023372770859083,43.6745605210921,25.320346222496564
B,Observed-power smoothing,240,4 h,4,2.0,2 h,3.0,639.0,19.543616213116305,19.534919997905643,6092.686690645037,6090.703160101446,0.9998872107490364,555.3339035740585,553.3503730304676,1.983530543590851,17.326274407944833,3.353169922224674,79.22702989576769,39.91158133156652,14.663531743479103,65.49426613230064,31.429822572737997,26.905102538303243,31.9310733407423,14.157625763951426,102.04562938536023,5.483558189767417,0.40818251754144086,1108.684276604526,5.3213013787294114,0.0,1.0,28.00090971070489,33.42018234294695,42.13056180025678
B,Observed-power smoothing,240,4 h,8,4.0,4 h,3.0,614.4,19.07999212763017,19.090094226885213,5712.500683711126,5714.413143145643,0.9996002917174724,516.509639865484,518.4220993000006,-1.912459434516481,16.754679431083623,3.3151887284402752,78.92206145474672,39.91158133156652,6.756854387271166,82.29668098569698,31.429822572737997,27.65319014796102,31.9310733407423,13.804247745953484,98.5695198766604,5.526115601230371,0.3942780795066415,1034.9317391654845,5.132072822023011,0.0,1.0,34.5719382129285,48.03213231104626,48.2464741308292
